address;agr_type;Calculation1;id;name;region (test_copies_deleted_6.csv1);sameness;sameness (group);source;type;CounterUnrepeated;lat;lon;original_address;points;refers_to
Заводская ул., 1Д, п. г. т. Залари;Активный туризм;Активный;0;Дельфин;Заларинский;0;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;бассейн;1;53,569431;102,524252;1;Point;
1-я ул. Лермонтова, 6, Черемхово;Активный туризм;Активный;1;Плавательный бассейн 70 лет Великой Победы;Черемховский;1;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;бассейн;1;53,137503;103,086272;1;Point;
ул. Промучасток, 7, Свирск;Активный туризм;Активный;2;Бассейн;Черемховский;0;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;бассейн;1;53,086562;103,35278;1;Point;
Байкальская ул., 253/1;Активный туризм;Активный;3;ВСК Солнечный;Иркутск;0;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;"спортивный комплекс;бассейн";1;52,256546;104,350145;1;Point;
ул. Чернышевского, 12;Активный туризм;Активный;4;Дворец спорта Изумруд;Иркутск;0;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;"спортивный комплекс;спортивный;тренажёрный зал;бассейн";1;52,271409;104,256288;1;Point;
Кооперативный пер., 1;Активный туризм;Активный;5;Дворец спорта Юность;Иркутск;1;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;"спортивный комплекс;спортивная школа;бассейн";1;52,288109;104,284039;1;Point;
Красноказачья ул., 74/1;Активный туризм;Активный;6;Киндерпул;Иркутск;0;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;бассейн;1;52,26817;104,326655;1;Point;
ул. Авиастроителей, 4А/1;Активный туризм;Активный;7;Кристалл;Иркутск;1;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;бассейн;1;52,350989;104,22646;1;Point;
18-й Советский пер., 5;Активный туризм;Активный;8;Спартак;Иркутск;0;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;"бассейн;оздоровительный центр";1;52,34805;104,169297;1;Point;
бул. Рябикова, 48;Активный туризм;Активный;9;Лидер;Иркутск;0;1;все_yandex_отфильровано_объединено_нормировано_25_03_2024.csv;"спортивная школа;спортивный комплекс;спортивный клуб;секция;бассейн";1;52,258613;104,211907;1;Point;
