argmax_source;Вид карты;Вид карты_вид_туризма;Вид карты_показатели;Вид карты_районирование;Виды туризма;ИТОГ (group);Качество жизни;Климат (уровень дискомфорта);МР;Муниципальный район;Отобразить полигоны;Перспективные виды туризма;Показать виды туризма - легенду;Столбец11;ТИП;Транспортная доступность_v1;count_101hotels;count_af;count_catering;count_ostrovok;count_passport_2019;count_passport_2024;count_rooms;Geometry;Автомобильная доступность;Доступность авиации;Доступность железной дороги;ИТОГ;Категория района;Категория районирования;Качество жизни, баллы;Климат (уровень дискомфорта), баллы;Климат (уровень комформа), баллы;Количество населенных пунктов;Количество объектов питания;Количество средств размещения;Коэффициент Гольца;Номерной фонд средств размещения;Общая площадь земель муниципального образования, гектар, 2022;Общая площадь земель муниципального образования, кв. км;Плотность дорог;Протяженность автодорог общего пользования местного значения, на конец года, км, 2022;Расстояние до аэропорта, км;Расстояние до ж/д станции;Результаты районирования;Транспортная доступность;Транспортная доступность, баллы
count_passport_2024;kinds;True;False;False;;<9;повышенный;очень сильный;Бодайбинский;Бодайбинский муниципальный район;True;;True;автомобильный, авиационный;Район;низкая;0;5;13;0;5;5;54;MultiPolygon;1;5;3;7;6;2;3;3;1;13;1;1;0,169842517;1;9225495,5;92254,955;2,016151870;186;0;225;2;1;2
count_ostrovok;kinds;True;False;False;этноэкологический, активный, познавательный;<6;пониженный;очень сильный;Мамско-Чуйский;Мамско-Чуйский муниципальный район;True;геологический, лечебно-оздоровительный;True;автомобильный, авиационный;Район;низкая;0;0;0;0;;;;MultiPolygon;1;5;3;4;4;1;1;3;1;11;0;0;0,057489446;0;4313417;43134,17;0,918065654;39,6;0;862;1;1;2
count_passport_2024;kinds;True;False;False;этнический, познавательный, промысловый, активный водный;<6;пониженный средний;очень сильный;Катангский;Катангский муниципальный район;True;;True;авиационный, водный;Район;крайне низкая;0;2;13;0;2;2;7;MultiPolygon;1;5;3;5;4;1;2;3;1;15;1;1;0,048726470;1;13916312;139163,12;0,505881156;70,4;0;677;1;1;1
count_101hotels;kinds;True;False;False;активный (рафтинг), познавательный;<9;пониженный;сильный;Усть-Илимский;Усть-Илимский муниципальный район;True;промышленный;True;железнодорожный, автомобильный, водный;Район;хорошая;5;5;30;2;4;;136;MultiPolygon;2;3;3;7;6;2;1;2;2;12;1;1;0,270263786;2;3659605;36596,05;4,893970797;179,1;260;260;2;2;3
count_passport_2024;kinds;True;False;False;лечебно-оздоровительный, познавательный;<12;повышенный средний;сильный;Киренский;Киренский муниципальный район;True;этноэкологический;True;автомобильный, авиационный, водный;Район;хорошая ;0;2;9;0;4;2;54;MultiPolygon;2;3;3;9;8;3;3;2;2;44;1;1;0,281211531;1;4380268,1;43802,681;8,912696463;390,4;710;350;3;2;3
count_passport_2024;kinds;True;False;False;познавательный, религиозный, экологический;<12;повышенный средний;сильный;Качугский;Качугский муниципальный район;True;;True;автомобильный;Район;хорошая ;0;2;2;0;2;2;27;MultiPolygon;1;3;3;9;8;3;3;2;2;77;1;1;0,190587021;1;3138961,1;31389,611;9,439428861;296,3;257;257;3;2;3
count_passport_2024;kinds;True;False;False;охотничий;<12;повышенный средний;сильный;Жигаловский;Жигаловский муниципальный район;True;спелеотуризм, сельский;True;автомобильный;Район;хорошая;1;2;2;0;2;2;17;MultiPolygon;1;3;3;9;8;3;3;2;2;37;1;1;0,113138095;1;2283743;22837,43;4,553927478;104;400;400;3;2;3
count_ostrovok;kinds;True;False;False;лечебно-оздоровительный, познавательный;<9;повышенный средний;сильный;Усть-Кутский;Усть-Кутский муниципальный район;True;этноэкологический;True;автомобильный, авиационный, водный;Район;хорошая ;2;10;22;10;6;;86;MultiPolygon;3;3;5;8;7;2;3;2;2;21;1;1;0,469500895;1;3463346,9;34633,469;11,561071171;400,4;330;0;2;3;2
count_passport_2024;kinds;True;False;False;этнический, лечебно-оздоровительный, сельский;<15;высокий;умеренный;Баяндаевский;Баяндаевский муниципальный район ( с 2014 года);True;религиозный, познавательный;True;железнодорожный, автомобильный;Район;выгодное;0;1;14;0;1;1;8;MultiPolygon;3;4;4;12;11;4;4;1;3;48;1;1;0,542610358;1;375619;3756,19;61,338750170;230,4;140;140;4;3;4
count_101hotels;kinds;True;False;False;этноэкологический, сакральный, активный (горнолыжный, горный, пеший, лыжный, водный), событийный, пляжный;<15;повышенный средний;умеренный;Ольхонский;Ольхонский муниципальный район;True;;True;железнодорожный, автомобильный, водный;Район;выгодное;216;216;54;48;116;;3189;MultiPolygon;3;3;3;14;10;4;3;1;3;41;2;5;0,516445566;5;1553002,9;15530,029;26,535687731;412,1;300;300;4;3;4
