region,popularity
Аларский,174381
Ангарский,141028
Балаганский,64953
Баяндаевский,67659
Бодайбинский,55046
Боханский,170476
Братский,660483
Жигаловский,104138
Заларинский,156976
Зиминский,119897
Иркутский,2964505
Казачинско-Ленский,169288
Катангский,47843
Качугский,107716
Киренский,77219
Куйтунский,228580
Мамско-Чуйский,26035
Нижнеилимский,204575
Нижнеудинский,190523
Нукутский,87313
Ольхонский,124625
Осинский,317193
Слюдянский,108497
Тайшетский,309909
Тулунский,199097
Усольский,473170
Усть-Илимский,95128
Усть-Кутский,89226
Усть-Удинский,102431
Черемховский,307583
Чунский,240038
Шелеховский,225533
Эхирит-Булагатский,81714
